experiment              compress  transfer  tr_speedup  learned
---------------------------------------------------------------
e1-rot90                    1.30         1        1.58        1
e2-swap-cells               6.42         2      104.03        1
e3-swap-cols                4.69         2       87.84        4
e4-swap-cols-mdl            2.44         2       96.41        1
e5-rederive-rot90           0.99         2        1.00        1
e6-rederive-d4              0.83         1        1.00        7
e7-rederive-d4-safe         0.79         6        1.00        6
e8-mirror-index-sub         1.12         5        3.47        1
e9-mirror-index-affine      1.12         5        5.00        1

-- E8 divergence: naive vs. search-scoped proposer --
  naive   compress x 0.95  transfer(grade)=0  train_speedup x 1.00  learned=['abs0', 'abs1']
  scoped  compress x 1.12  transfer(grade)=5  train_speedup x 3.47  learned=['abs0']
