member                           stage                    solved  detail
dae9d2b5-split-recolor-lean      train_usefulness            9/9  top 1/1 · to-first max 320
dae9d2b5-split-recolor-lean      transfer                    5/5  top 1/1 · to-first max 320

dae9d2b5-split-halves-lean       train_usefulness            5/5  top 1/1 · to-first max 287,530
dae9d2b5-split-halves-lean       transfer                    3/3  top 1/1 · to-first max 287,530

dae9d2b5-split-asym-lean         train_usefulness            7/7  top 1/1 · to-first max 312,177
dae9d2b5-split-asym-lean         transfer                    4/4  top 1/1 · to-first max 312,177

94f9d214-nor-recolor             train_usefulness            9/9  top 1/1 · to-first max 560,666
94f9d214-nor-recolor             transfer                    5/5  top 1/1 · to-first max 560,666

94f9d214-nor-merged              train_usefulness          11/11  top 1/1 · to-first max 12,646
94f9d214-nor-merged              transfer                    6/6  top 1/1 · to-first max 12,646

fafffa47-nor-recolor             train_usefulness            9/9  top 1/1 · to-first max 560,422
fafffa47-nor-recolor             transfer                    5/5  top 1/1 · to-first max 560,422

fafffa47-nor-merged              train_usefulness          11/11  top 1/1 · to-first max 20,584
fafffa47-nor-merged              transfer                    6/6  top 1/1 · to-first max 20,584

al1-mirror                       train_usefulness            5/5  top 1/1 · to-first max 7,206
al1-mirror                       transfer                    3/3  top 0/0 · to-first max 9,450

al21-dag-siblings                train_usefulness            5/5  top 1/1 · to-first max 85
al21-dag-siblings                transfer                    3/3  top 0/0 · to-first max 85

